year,gear,flag_iso2,fleet,species,catch,units,flag_name,flag_iso3,is_SID
2005,L,AU,AU,yft,1499,mt,Australia,AUS,FALSE
2005,L,AU,AU,blm,60,mt,Australia,AUS,FALSE
2005,L,AU,AU,bum,73,mt,Australia,AUS,FALSE
2005,L,AU,AU,mls,453,mt,Australia,AUS,FALSE
2005,L,AU,AU,swo,1730,mt,Australia,AUS,FALSE
2005,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
2005,L,AU,AU,mak,64,mt,Australia,AUS,FALSE
2005,L,AU,AU,ocs,6,mt,Australia,AUS,FALSE
2005,L,AU,AU,por,0,mt,Australia,AUS,FALSE
2005,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
2005,L,AU,AU,thr,1,mt,Australia,AUS,FALSE
2006,L,AU,AU,alb,2591,mt,Australia,AUS,FALSE
2006,L,AU,AU,bet,499,mt,Australia,AUS,FALSE
2006,L,AU,AU,pbf,5,mt,Australia,AUS,FALSE
2006,L,AU,AU,skj,49,mt,Australia,AUS,FALSE
2006,L,AU,AU,yft,1830,mt,Australia,AUS,FALSE
